id,classification,categories,text
KA-01011,informational,311-51|311-111|311-81,"Alternate Side Parking and Street Cleaning. Learn about Alternate Side Parking (ASP) suspensions, rules, and change requests."
KA-01012,informational,311-71|311-58,Birth Certificate Order. Get a copy of a birth certificate.
KA-01013,informational,311-71|311-58,Birth Certificate Change. Correct or update a birth certificate.
KA-01014,submittable,311-89,Buses and Subways. Get information or make a complaint about a MetroCard or bus or subway run by the Metropolitan Transportation Authority (MTA).
KA-01015,informational,311-35|311-62|311-74|311-85|311-61|311-110,"Department of Finance Business Centers. Find places to pay parking tickets, camera violations, and property taxes and get related services."
KA-01016,unclear,311-35|311-62|311-12|311-61|311-68|311-60,Mediation. Get free and confidential help to resolve a dispute.
KA-01017,submittable,311-62|311-12|311-61|311-60,Noise from Neighbor. Report a noisy neighbor.
KA-01018,informational,311-23|311-22,"SNAP. Apply for SNAP, formerly known as food stamps."
KA-01019,submittable,311-36|311-68,Vandalism in a Park. Report vandalism taking place in a park.
KA-01020,submittable,311-71|311-43|311-72|311-54|311-73|311-103,Apostille Document Authentication. Get a document issued in New York certified for use in a foreign country.
KA-01021,submittable,311-78|311-109,City Agency Record or FOIL Request. Request a City Agency record or make a Freedom of Information Law (FOIL) request.
KA-01022,informational,311-71|311-58,Birth Certificate from Puerto Rico. Get a copy of a birth certificate if you were born in Puerto Rico.
KA-01023,unclear,311-54|311-70,"Consulate or Embassy. Get foreign passports, visas, vital records, and other services at a consulate."
KA-01024,unclear,311-35|311-70,Name Change. Learn how to change your legal name with the court.
KA-01025,unclear,311-78|311-107,"NYC311 App. Get the NYC311 app for an iPhone, iPad, or Android."
KA-01026,informational,311-111|311-81,Parking Signs and Rules. Learn about parking regulations and find out the rules for a specific location.
KA-01027,informational,311-68,Police Precincts and PSAs. Find a precinct or police service area (PSA) for a specific address. Get precinct and PSA locations and contact information.
KA-01028,informational,311-72,Death Certificate Order. Get a copy of a death certificate.
KA-01029,informational,311-35|311-68,"County Clerk. Get information about business certificates, divorce court, notary verification, and Supreme Court document maintenance."
KA-01030,informational,311-35|311-27|311-73,Marriage Record. Get a copy of a marriage record or make a correction.
KA-01031,informational,311-35|311-73,Divorce Record. Get a copy of a divorce judgment or other written order in a divorce case.
KA-01032,informational,311-25,Adoption and Foster Care. Learn about adopting a child in foster care. Request assistance after adoption. Check the status of adoption subsidy payments.
KA-01033,emergency,311-68,Dangerous Location or Situation. Call 911 to report a situation that might cause danger to life or personal property.
KA-01034,submittable,311-68|311-80|311-47,"Fire Hydrant Complaint. Report a fire hydrant that is leaking, running, missing, misused, or damaged (including fender post), or blocked by a vehicle."
KA-01035,submittable,311-36|311-68|311-80|311-47,"Fire Hydrant Request. Request installation, removal, relocation, spray cap fitting, or fender post installation."
KA-01036,submittable,311-64|311-61|311-60,Heat or Hot Water Complaint in a Residential Building. Report a problem with heat or hot water in a residential building.
KA-01037,submittable,311-21|311-68,"Homeless Outreach Assistance. Request outreach for a homeless person living on the streets, in the subway, or in other public places."
KA-01038,informational,311-23|311-25,"Child Support. Get help with eligibility, obligations, payments, enforcement, and accounts."
KA-01039,submittable,311-21|311-60,Homeless Shelter Complaint. Make a complaint or comment about a homeless shelter.
KA-01040,informational,311-35|311-75|311-56|311-26|311-29|311-60,"Legal Assistance. Get a lawyer referral, free legal services, and answers to questions about the law and courts. Connect with Tenant Helpline for advice and assistance."
KA-01041,submittable,311-21|311-20|311-59|311-29|311-28|311-60,Eviction Prevention and Homebase. Get help if you have gotten an eviction notice and learn about the Homebase program.
KA-01042,submittable,311-60,Tenant Harassment. Get help for a tenant whose landlord harasses them and tries to force them out of their apartment. Connect with Tenant Helpline for advice and assistance.
KA-01043,informational,311-35|311-26,"Immigration and Citizenship. Learn about immigration and citizenship applications, resources, services, and immigration legal help."
KA-01045,submittable,311-33|311-90,Taxi Lost and Found. Report an item lost or found in a yellow or green taxi.
KA-01046,emergency,311-69|311-68,"Missing Person. Call 911 to report someone who may be missing, abducted, or kidnapped. Check if a missing person has been found."
KA-01047,submittable,311-80|311-81,Pedestrian Signal Complaint or Request. Report a problem with an existing pedestrian (Walk/Don't Walk) signal. Request a new Accessible Pedestrian Signal.
KA-01048,submittable,311-64,"Electrical Complaint. Report an electrical problem in a rental building, defective or exposed wiring in a building, or faulty outdoor electrical equipment."
KA-01049,informational,311-56,Health Care Proxy. Get the form and guidelines for appointing someone to legally make healthcare decisions for you if you can't do it yourself.
KA-01050,submittable,311-90,"Car Service Lost and Found. Report an item lost or found in a car service, limousine, or black car."
KA-01051,submittable,311-66,Unleashed Dog. Report a dog that is not leashed in a park or other public place.
KA-01052,informational,311-60,NYCHA Pet Policy. Learn about NYCHA's pet policy. Report a person breaking the rules.
KA-01053,submittable,311-91,Staten Island Ferry Lost and Found. Report an item lost or found on the Staten Island Ferry.
KA-01054,submittable,311-64|311-80,"Pay Phone Complaint. Report a pay phone that is broken, damaged, dirty, or has graffiti."
KA-01055,submittable,311-33|311-90,Taxi Driver Compliment. Give positive feedback about a yellow or green taxi driver.
KA-01056,submittable,311-33|311-90,Taxi or Car Service Insurance Information. Request insurance information if you had property damaged or were in an accident involving a taxi or for-hire vehicle.
KA-01057,informational,311-33|311-58,"Restaurant and Mobile Food Letter Grading. Learn about letter grading for restaurants, food trucks and food carts. Report a missing, fake, or incorrect letter grade."
KA-01058,submittable,311-33|311-62|311-61|311-60,"Cable Complaint. Report a problem with a cable TV, phone, or internet provider."
KA-01059,informational,311-56|311-29,"Alzheimer's Care. Learn about resources for living with Alzheimer's Disease, including long-term care and living arrangements. Get support for caregivers."
KA-01060,submittable,311-36,"Park Maintenance Complaint. Report broken equipment, unclean conditions, or another maintenance problem in a City park, pool, recreation center, or greenway."
KA-01061,submittable,311-64,Privately Owned Public Space (POPS) Complaint. Report a privately owned public space (POPS) that is poorly maintained or not open to the public during posted hours.
KA-01062,submittable,311-62|311-111|311-61|311-80|311-81|311-60,Blocked Driveway. Report a vehicle that is blocking your driveway.
KA-01063,submittable,311-81,Street Sign Complaint. Report a problem with a street sign.
KA-01064,submittable,311-81,Street Sign Request. Request a new parking or traffic sign or change to an existing one.
KA-01065,informational,311-44|311-37|311-43|311-40|311-38|311-103,Libraries. Find a public library.
KA-01066,informational,311-78|311-109,Service Request Status. Check the status of a Service Request filed with NYC311.
KA-01067,submittable,311-105|311-103,School Maintenance Complaint. Report a public school that needs repair or maintenance.
KA-01068,submittable,311-48|311-62|311-61|311-60,Sewage Leak or Odor Indoors. Report a sewage leak or odor in a residential or commercial building.
KA-01069,informational,311-20|311-59|311-29,Housing Options for Older Adults. Learn about housing options for people age 60 and older.
KA-01071,submittable,311-80,Bus Stop Shelters. Request a new bus stop shelter or report an existing bus stop shelter that needs maintenance or repair.
KA-01072,submittable,311-92|311-36|311-80,Bike Rack Complaint. Report a bike rack issue or a usable abandoned bike chained to a bike rack. Learn how to retrieve a bike that has been removed from a city-owned bike rack.
KA-01073,submittable,311-61|311-60,"HPD Building Information and Code Enforcement Borough Service Centers. HPD Code Enforcement Borough Centers information by phone and in person for violations, complaints, property registrations. HPD Building Information online"
KA-01074,submittable,311-78|311-61|311-60,"Apartment Maintenance Complaint. Report a maintenance problem in an apartment, public area, or entire building of a privately-owned residential rental building."
KA-01075,informational,311-35|311-61|311-60,"Housing Court for Tenants and Landlords. Learn about assistance for landlords and tenants with ongoing disputes, including eviction."
KA-01076,submittable,311-60,"NYCHA Public Housing Maintenance Complaint. Report a maintenance problem in a New York City Housing Authority apartment, building, or public space."
KA-01077,informational,311-61|311-60,Loft Complaint. Get help with resolving disputes between loft tenants and owners.
KA-01078,submittable,311-62|311-61|311-60,Co-Op or Condo Sponsor Information Complaint. Report a problem with a co-op or condo sponsor.
KA-01079,informational,311-91|311-79|311-113,"Bridges. Get information about bridges, request bridge maintenance or report a bridge condition."
KA-01080,informational,311-81,Pedestrian Bridges. Learn about pedestrian bridges in New York City.
KA-01081,informational,311-79|311-113|311-81,"Street, Highway, Bridge, and Tunnel Closures. Learn about street, highway, bridge, and tunnel closures."
KA-01082,unclear,311-69,"Notify NYC. Sign up to get messages about emergency events, important City services, and neighborhood-specific alerts."
KA-01083,submittable,311-62|311-61|311-80|311-81,"Curb or Driveway Complaint. Report a curb that is damaged, painted, or illegally cut for a driveway."
KA-01084,submittable,311-48|311-80|311-81,"Catch Basin Complaint. Report a street sewer catch basin that needs cleaning or has a defect, including missing curb piece or cover. Report a lost personal item in a catch basin."
